epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,130.937,1.14872,1.16167,1.25386,0.99073,0.7,0.8322,0.41959,1.5278,1.15574,1.43618,0.0008318,0.0008318,0.0008318
61,133.205,1.00582,1.0886,1.24019,0.88622,0.7808,0.8454,0.44533,1.54783,1.17748,1.45893,0.000812,0.000812,0.000812
62,135.463,1.03587,1.03466,1.21899,0.88709,0.78707,0.8497,0.43039,1.55635,1.21258,1.47484,0.0007922,0.0007922,0.0007922
63,137.857,1.15975,1.14326,1.31226,0.88709,0.78707,0.8497,0.43039,1.55635,1.21258,1.47484,0.0007724,0.0007724,0.0007724
64,140.13,1.00628,1.11375,1.21515,0.88761,0.79082,0.83764,0.4756,1.45892,1.16109,1.43002,0.0007526,0.0007526,0.0007526
65,142.374,1.10313,1.11545,1.24809,0.88817,0.79481,0.83721,0.45671,1.4905,1.16649,1.44824,0.0007328,0.0007328,0.0007328
66,144.603,1.12877,1.06923,1.21288,0.88817,0.79481,0.83721,0.45671,1.4905,1.16649,1.44824,0.000713,0.000713,0.000713
67,147,1.17366,1.20772,1.2947,0.79033,0.9,0.85921,0.4568,1.5849,1.1784,1.5138,0.0006932,0.0006932,0.0006932
68,149.61,1.11933,0.96282,1.20698,0.81746,0.89603,0.86011,0.43298,1.68778,1.15087,1.5844,0.0006734,0.0006734,0.0006734
69,152.448,1.05864,1.0127,1.22801,0.81746,0.89603,0.86011,0.43298,1.68778,1.15087,1.5844,0.0006536,0.0006536,0.0006536
70,155.056,1.00409,1.03065,1.16034,1,0.78595,0.87774,0.43372,1.68379,1.15352,1.5859,0.0006338,0.0006338,0.0006338
71,157.717,1.08395,1.06728,1.23717,0.89896,0.8906,0.88629,0.46591,1.67476,1.20183,1.55653,0.000614,0.000614,0.000614
72,160.367,1.17896,1.33734,1.32472,0.89896,0.8906,0.88629,0.46591,1.67476,1.20183,1.55653,0.0005942,0.0005942,0.0005942
73,162.897,1.03221,0.97881,1.19977,0.99916,0.8,0.87741,0.46651,1.64779,1.13662,1.52181,0.0005744,0.0005744,0.0005744
74,165.572,0.99684,1.02751,1.17539,0.99145,0.8,0.85982,0.46975,1.60754,1.15959,1.4725,0.0005546,0.0005546,0.0005546
75,168.007,1.06862,1.02901,1.22211,0.99145,0.8,0.85982,0.46975,1.60754,1.15959,1.4725,0.0005348,0.0005348,0.0005348
76,170.211,1.03459,1.10367,1.18874,0.99128,0.8,0.84862,0.46405,1.54017,1.24262,1.40998,0.000515,0.000515,0.000515
77,172.405,1.035,1.0161,1.18618,1,0.7876,0.84868,0.48642,1.50009,1.22434,1.37505,0.0004952,0.0004952,0.0004952
78,174.632,0.99469,1.01975,1.16238,1,0.7876,0.84868,0.48642,1.50009,1.22434,1.37505,0.0004754,0.0004754,0.0004754
79,176.86,0.99445,0.99661,1.184,0.86314,0.8,0.84877,0.49173,1.49973,1.22944,1.39136,0.0004556,0.0004556,0.0004556
80,179.099,1.1045,1.02208,1.18023,0.98228,0.7,0.85,0.48711,1.47646,1.16986,1.36685,0.0004358,0.0004358,0.0004358
81,181.386,1.04755,1.10934,1.23362,0.98228,0.7,0.85,0.48711,1.47646,1.16986,1.36685,0.000416,0.000416,0.000416
82,183.672,1.10834,1.14574,1.24969,1,0.87977,0.89558,0.52674,1.50397,1.15881,1.37453,0.0003962,0.0003962,0.0003962
83,185.868,0.89487,1.00425,1.12083,1,0.89638,0.89567,0.48182,1.55779,1.14913,1.42365,0.0003764,0.0003764,0.0003764
84,188.078,1.01544,0.98068,1.2191,1,0.89638,0.89567,0.48182,1.55779,1.14913,1.42365,0.0003566,0.0003566,0.0003566
85,190.292,1.01008,0.96061,1.16198,0.99613,0.9,0.89604,0.46533,1.61241,1.08239,1.47723,0.0003368,0.0003368,0.0003368
86,192.479,0.87457,0.89139,1.11535,0.99613,0.9,0.89604,0.46533,1.61241,1.08239,1.47723,0.000317,0.000317,0.000317
87,194.758,0.94115,0.92922,1.15186,0.99082,0.9,0.89978,0.46461,1.63783,1.0326,1.52585,0.0002972,0.0002972,0.0002972
88,196.924,0.92215,0.94258,1.16063,0.98884,0.9,0.89625,0.46394,1.6145,1.00436,1.5001,0.0002774,0.0002774,0.0002774
89,199.217,0.93556,0.90756,1.15377,0.98884,0.9,0.89625,0.46394,1.6145,1.00436,1.5001,0.0002576,0.0002576,0.0002576
90,201.452,0.97416,1.01699,1.1865,0.98926,0.9,0.89614,0.45646,1.61198,1.02522,1.51218,0.0002378,0.0002378,0.0002378
